,Open,High,Close
3193,302.26,310.35,309.9
3194,300.0,301.9,299.54
3195,301.24,303.4,301.19
3196,305.34,306.75,300.89
3197,292.51,299.24,298.86
3198,293.39,294.4,291.784
3199,296.4,296.6,293.35
3200,296.25,297.5,296.23
3201,289.39,295.8,295.54
3202,297.3,297.6,291.525
3203,292.0,295.98,295.71
3204,295.04,296.24,291.25
3205,294.34,298.93,294.15
3206,302.5,304.38,292.72
3207,306.28,309.25,302.0
3208,298.9,304.47,304.1
3209,290.9,298.0,297.25
3210,288.0,294.81,289.71
3211,289.67,292.32,289.3
3212,288.18,290.3,287.84
3213,276.08,287.672,286.7
3214,279.0,280.3,280.3
3215,274.26,278.3,277.44
3216,275.0,277.3,274.8
3217,278.59,281.24,278.35
3218,279.82,284.19,282.75
3219,286.99,287.28,282.5
3220,284.72,288.5,286.31
3221,292.85,293.19,279.56
3222,297.1,299.59,293.12
3223,282.39,293.75,290.94
3224,286.79,289.3,280.26
3225,288.73,289.78,287.9
3226,283.2,292.89,288.0
3227,269.56,278.4,277.27
3228,260.48,266.05,266.0
3229,260.96,263.76,259.2
3230,252.73,260.98,260.81
3231,256.96,265.44,256.0
3232,243.16,258.1,255.45
3233,241.21,241.67,241.61
3234,240.48,241.17,239.18
3235,233.61,239.97,239.16
3236,230.56,233.45,233.13
3237,229.68,231.62,231.05
3238,229.18,231.09,229.24
3239,230.81,232.23,228.72
3240,228.9,231.98,231.29
3241,225.47,227.8,227.8
3242,228.0,228.5,226.02
3243,228.4,229.25,228.02
3244,228.62,228.62,226.98
3245,227.18,229.88,228.5
3246,221.54,228.15,226.19
3247,222.05,223.7,222.29
3248,221.91,222.25,220.0
3249,219.5,222.08,219.45
3250,217.99,220.85,219.78
3251,220.22,222.0,218.75
3252,217.82,224.74,223.53
3253,222.905,224.0,215.81
3254,200.42,205.0,204.75
3255,198.58,200.5,198.1
3256,189.33,192.0,191.4
3257,184.58,187.88,186.97
3258,190.1,190.34,185.0
3259,193.27,194.36,191.45
3260,193.47,194.32,192.93
3261,193.0,194.42,193.955
3262,193.09,194.8,193.23
3263,193.69,195.1,192.05
3264,188.78,194.62,193.76
3265,189.24,189.65,189.22
3266,187.73,190.26,188.57
3267,179.95,185.32,185.29
3268,181.76,182.95,180.04
3269,177.95,181.39,180.51
3270,180.64,181.45,180.45
3271,181.05,183.28,179.57
3272,181.68,184.8,181.42
3273,180.22799999999998,180.86,179.25
3274,177.97,180.24,178.98
3275,181.18,181.94,178.6
3276,179.27,182.17,180.88
3277,178.81,180.4,180.04
3278,177.13,179.64,179.29
3279,176.7,178.61,175.6
3280,175.25,180.0,178.61
3281,178.33,178.4,174.99
3282,180.44,180.95,177.8
3283,181.01,181.2,179.98
3284,184.21,184.65,181.35
3285,189.1,189.85,185.2
3286,187.78,189.6,188.81
3287,186.7,187.25,185.9
3288,186.13,187.75,187.005
3289,185.95,187.67,185.18
3290,189.29,189.75,186.06
3291,186.0,189.87,187.99
3292,189.15,189.92,185.87
3293,183.37,189.85,188.89
3294,193.3,194.48,193.95
3295,196.5,198.9,191.37
3296,198.51,198.84,197.95
3297,197.83,199.75,197.9
3298,194.7,199.33,198.41
3299,193.605,199.84,195.23
3300,186.08,193.08,192.99
3301,186.66,192.32,187.4
3302,191.97,192.21,187.98
3303,200.76,201.6,191.58
3304,196.96,200.02,198.64
3305,205.26,206.4,196.03
3306,206.47,207.75,204.36
3307,205.99,213.37,210.86
3308,215.55,216.8,205.96
3309,194.38,203.75,191.9
3310,193.69,196.36,195.62
3311,190.13,194.7,190.34
3312,188.76,188.86,188.08
3313,179.27,189.41,189.24
3314,182.2,182.24,177.12
3315,188.69,189.33,180.72
3316,194.44,195.36,188.28
3317,192.58,196.25,193.92
3318,204.64,205.3,197.3
3319,200.89,205.02,203.9
3320,196.0,200.01,199.97
3321,195.38,197.39,195.33
3322,194.33,195.93,195.38
3323,195.62,197.71,193.54
3324,194.5,198.1,195.06
3325,190.64,194.25,193.85
3326,195.25,195.9,188.55
3327,193.45,196.9,193.51
3328,201.33,202.93,194.5
3329,197.4,203.64,202.71
3330,199.23,199.88,192.79
3331,192.97,198.23,197.6
3332,191.97,193.52,192.9
3333,192.11,193.55,192.76
3334,189.43,193.3,191.91
3335,187.45,188.6,187.9
3336,183.9,186.85,186.3
3337,186.28,187.88,183.75
3338,182.0,188.46,185.02
3339,176.76,180.5,180.08
3340,177.22,180.49,176.47
3341,177.99,180.69,179.78
3342,171.0,178.82,178.69
3343,172.03,173.18,170.45
3344,173.43,174.88,171.65
3345,170.25,173.5,173.43
3346,170.57,173.68,169.98
3347,176.0,176.2,171.43
3348,179.13,180.7,176.29
3349,180.0,181.06,180.4
3350,179.9,181.51,179.4
3351,181.77,182.5,179.96
3352,180.7,183.0,181.98
3353,180.255,182.95,181.05
3354,175.8,180.03,179.39
3355,174.84,177.21,174.76
3356,167.915,170.83,167.52
3357,168.6,169.5,165.1
3358,169.06,169.98,169.4
3359,170.4,174.42,167.54
3360,169.02,177.5,172.5
3361,174.39,179.47,172.545
3362,180.45,188.32,184.87
3363,185.23,189.8,182.0
3364,169.32,183.75,183.02
